name_only,img_urls,img_files,address_only
Chase Bank,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Chase_3_Times_Square_1_DannyPerez.jpg?itok=oZeZZUV-,sitesdefaultfilesstyleslocationteaserpublicshoppingchase3timessquare1dannyperez.jpg,"3 Times Sq, NY"
Chase Bank,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Chase_Bank_810_Seventh_Ave_1_DannyPerez.jpg?itok=76DD3Kgl,sitesdefaultfilesstyleslocationteaserpublicshoppingchasebank810seventhave1dannyperez.jpg,"810 Seventh Ave, NY"
Christmas in New York,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Its_Always_Christmas_In_New_York_1600_Broadway_1_DannyPerez.jpg?itok=1P0wSxpc,sitesdefaultfilesstyleslocationteaserpublicshoppingitsalwayschristmasinnewyork1600broadway1dannyperez.jpg,"1602 Broadway, NY"
Christmas in New York - Broadway,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Christmas_In_New_York_1656_Broadway_1_DannyPerez.jpg?itok=WtK4nRdJ,sitesdefaultfilesstyleslocationteaserpublicshoppingchristmasinnewyork1656broadway1dannyperez.jpg,"1656 Broadway, NY"
Christmas in New York ? the Manhattan Hotel at Midtown,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Christmas_In_New_York_At_Manhattan_Hotel_1_DannyPerez.jpg?itok=nGMyZ-TJ,sitesdefaultfilesstyleslocationteaserpublicshoppingchristmasinnewyorkatmanhattanhotel1dannyperez.jpg,"730 Seventh Ave, NY"
Citibank,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Citi_Bank_1_DannyPerez.jpg?itok=Ra-bJ_pt,sitesdefaultfilesstyleslocationteaserpublicshoppingcitibank1dannyperez.jpg,"787 Seventh Ave, NY"
CoverGirl,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_CoverGirl_1.jpg?itok=S7ekR8Xd,sitesdefaultfilesstyleslocationteaserpublicshoppingcovergirl1.jpg,"719 Seventh Ave, NY"
CVS,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping-CVS-1619-Broadway.jpg?itok=OQkKNcNC,sitesdefaultfilesstyleslocationteaserpublicshoppingcvs1619broadway.jpg,"1619 Broadway, NY"
Cyc Fitness,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_CYC_Fitness_1_DannyPerez.jpg?itok=aNlkUkv2,sitesdefaultfilesstyleslocationteaserpublicshoppingcycfitness1dannyperez.jpg,"700 Eighth Ave, NY"
Digital Cameras & Computers,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Digital_Camera_%2526_Computers_1_DannyPerez.jpg?itok=T4Pa1ERX,sitesdefaultfilesstyleslocationteaserpublicshoppingdigitalcamera2526computers1dannyperez.jpg,"1550 Broadway, NY"
Disney Store,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Disney%2BStore_1.jpg?itok=7NSVeUPQ,sitesdefaultfilesstyleslocationteaserpublicdisney2bstore1.jpg,"1540 Broadway, NY"
Duane Reade,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Duane_Reade_771_Eighth_Ave_1_DannyPerez.jpg?itok=TNEpVLLD,sitesdefaultfilesstyleslocationteaserpublicshoppingduanereade771eighthave1dannyperez.jpg,"771 Eighth Ave, NY"
