name_only,img_urls,img_files,address_only
Strand Kiosk (TSQ MKT),https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Retail_Strand_1_ChelseaLipman.jpg?itok=mirGQ3Mx,sitesdefaultfilesstyleslocationteaserpublicretailstrand1chelsealipman.jpg,"Broadway & 43rd Street, NY"
Sunglass Hut,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/SunglassesHut_1.jpeg?itok=miXXH63t,sitesdefaultfilesstyleslocationteaserpublicsunglasseshut1.jpeg,"1540 Broadway, NY"
Super Runners Shop,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/SuperRunners_1.jpeg?itok=_PnIqafi,sitesdefaultfilesstyleslocationteaserpublicsuperrunners1.jpeg,"745 Seventh Ave, NY"
T-Mobile,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_TMobile_1.jpg?itok=el8J8R6p,sitesdefaultfilesstyleslocationteaserpublicshoppingtmobile1.jpg,"1535 Broadway, NY"
T-Mobile New York,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_TMobile_869_Eighth_Ave_2_DannyPerez.jpg?itok=Og6gNxCE,sitesdefaultfilesstyleslocationteaserpublicshoppingtmobile869eighthave2dannyperez.jpg,"869 Eighth Ave, NY"
TD Bank,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_TD_Bank_1_DannyPerez.jpg?itok=gOxSluyL,sitesdefaultfilesstyleslocationteaserpublicshoppingtdbank1dannyperez.jpg,"1633 Broadway, NY"
Theater Circle Gifts,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Theatre_Circle_1_DannyPerez.jpg?itok=kJ4D2cbC,sitesdefaultfilesstyleslocationteaserpublicshoppingtheatrecircle1dannyperez.jpg,"268 W 44th St, NY"
Times Square Gift Shop,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Times_Square_Gift_Shop_1_DannyPerez.jpg?itok=KPaapDlz,sitesdefaultfilesstyleslocationteaserpublicshoppingtimessquaregiftshop1dannyperez.jpg,"165 W 48th St, NY"
Timothy John's Salon,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/externals/c838f56d99d8dc315edf87db33cdd432.jpg?itok=mXGCc_OE,sitesdefaultfilesstyleslocationteaserpublicexternalsc838f56d99d8dc315edf87db33cdd432.jpg,"888 Eighth Ave, NY"
Tissot,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Tissot_1.jpg?itok=HSdtGwVo,sitesdefaultfilesstyleslocationteaserpublictissot1.jpg,"1515 Broadway, NY"
Verizon,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Verizon_1-750-7th-Ave.-compressor.jpg?itok=de2MuEEF,sitesdefaultfilesstyleslocationteaserpublicverizon17507thave.compressor.jpg,"750 Seventh Ave, NY"
Verizon Wireless,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Verizon_Wireless_125W_42ST_1_DannyPerez.jpg?itok=K6oEVzOq,sitesdefaultfilesstyleslocationteaserpublicshoppingverizonwireless125w42st1dannyperez.jpg,"125 W 42nd St, NY"
Yankee Clubhouse Shop,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Yankees_Clubhouse_Shop_1_DannyPerez.jpg?itok=hEGeTAMW,sitesdefaultfilesstyleslocationteaserpublicshoppingyankeesclubhouseshop1dannyperez.jpg,"745 Seventh Ave, NY"
Yankee Clubhouse Shop,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Yankee-Clubhouse-Shop_245-W-42nd-St.jpg?itok=YlzTdn-w,sitesdefaultfilesstyleslocationteaserpublicshoppingyankeeclubhouseshop245w42ndst.jpg,"245 W 42nd St, NY"
